id,date,massif,sommet,itineraire,description,orientation,caracteristique,origine_principale,origine_secondaire,type_ecoulement_principal,qualite_neige,risque_meteo_france,latitude,longitude,thumbnail,imagesNb,isPrivate,tags,updated,altitude_depart,altitude_arrivee
1642072642225,1641942000000,aiguilles d arves,Aiguille de l'Epaisseur,,"b""Apres s'etre decale trop sur la gauche par rapport a l'itineraire a la montee, j'ai vu une fissure partir au dessus de mes skis. En faisant demi-tour j'ai vu que la fissure courait de ma position jusqu'a une cinquantaine de metre plus haut.\r\nUne bonne plaque a vent.""",E,b'',"Ski touring, uphill",,,,Inconnu,45.13092028612608,6.357382659110359,/attached-files/thumbnails/1642072461149-IMG20220112120845.jpg,2,False,,1642074353000,3100,0
1642001062328,1641942000000,,,Mont Joly,b'Descente du Pcheu au Mont Joly. \r\nDeclenchement naturel',E,b'',,,,,Inconnu,45.82590226411512,6.693,/attached-files/thumbnails/1642000995871-6792F916F39E44E7B6976CCB4192BACD.jpeg,1,False,,1642013122000,2500,1180
1642005733893,1641855600000,Haute Maurienne,Pointe de Vallonbrun,,"b""Petite avalanche partie spontanement, probablement hier (mardi 11/01) lors de l'episode de vent.\r\n\r\nC'est la seule avalanche observee ce jour dans ce versant.""",SE,b'Wind slab',,,,,3 - MARQUE,45.31766740651071,6.937318037914648,/attached-files/thumbnails/1642005733893-1642005938073-P1130013.JPG,2,False,,1642005978000,2630,2240
1641931532871,1641855600000,Belledonne,pointe du sciallet,"Sommet du sciallet par l'éperon est, permettant de basculer sur le col de la scia","b""Declenchement de la plaque par 1 skieur. \r\nDepart de celle-ci au premier virage, a 5m sous la ligne de crete.\r\n1 skieur ayant deja effectue une descente, plus a droite (orographiquement), celui-ci etant en attente en securite plus bas (auteur des photos)\r\nPlaque d'une centaine de metres de large, sur 100m de long, hauteur de cassure environ 60 a 80cm.\r\nSkieur prit au genoux, non enseveli, non blesse. Appel a l'usem pour annoncer la coulee, et qu'aucun skieur n'etait pris ou blesse (au cas ou d'autres skieurs au loin avaient vu la coulee + presence de traces avant la cassure)\r\nCondition de debut de ski : neige glacee sur 3m, changeant rapidement en poudre.\r\n\r\nSur la premiere photo, on distingue le debut de cassure qui se dessine au passage du skieur, sur toute la longueur de pente.""",E,b'',"Ski touring, downhill",,,,Inconnu,45.21223595940398,6.013909128299987,/attached-files/thumbnails/1641931326001-inbound8693840892691972402.jpg,3,False,,1641931532000,2300,2200
1641918131562,1641855600000,Mont Thabor,Roche de la Pelle,,"b""Avalanche spontanee partie tres probablement dans la matinee.\r\nDepart de la plaque sur une vielle couche fragile de gobelets au niveau du sol. L'ecoulement est descendu dans le fond du vallon, puis est remonte sur environ 80/100m de denivele sur le versant oppose, en faisant partir une nouvelle plaque (versant ouest pour cette 2eme plaque). Les deux ecoulement cumules ont laisse un depot tres important dans la fond du vallon.""",NE,b'Soft slab',,,Aerosol,,3 - MARQUE,45.13602953607808,6.551386985729573,/attached-files/thumbnails/1641918131562-1641918619505-P1120011.JPG,5,False,,1641918700000,2820,2450
1641903068359,1641855600000,Aravis,La Tournette,"Itinéraire classique NE, juste en haut du couloir.",b'Petite coulee en haut du couloir de la tournette(3x5m). \r\nNeige bien ventee autour.',NE,b'',,,,,Inconnu,45.82380512467826,6.287097930908204,/attached-files/thumbnails/1641903065699-IMG1838.JPG,1,False,,1641903068000,2330,2320
1642083084126,1641769200000,Vanoise,Aussois,Bellecôte - Les Balmes,"b""Skieur surpris par le declenchement, car les pentes adjacentes avaient ete purgees en deux vastes plaques par un tir d'explosif. Emporte et partiellement enfoui, il fut rapidement degage indemne par son compagnon.""",S,b'Wind slab',"Ski touring, downhill",Wind,,Soft dry,4 - FORT,45.265561,6.743746,/attached-files/thumbnails/1642083084126-1642083650430-IMG0245.JPG,4,False,,1642083731000,2825,2550
1641843373158,1641769200000,Queyras,Sommet des Anges,,"b""Risque 3 au BERA pour le secteur. Declenchement d'une petite plaque en descente a une rupture de pente mais celle ci n'est vraiment qu'un peu plus raide sur 4 - 5 m. Sur le moment je ne me suis pas arrete, c'est en remontant que je suis revenu dessus.\r\nLa cassure va de 20 a 50 cm d'epaisseur sur une vingtaine de metre. Le depot s'est vite arrete, au max une quinzaine de metre en dessous.\r\nElle a mobilise la couche de neige recente poudreuse legerement travaille par le vent. La couche fragile de 4 -5 cm d'epaisseur possede une legere cohesion, peut etre la chute de neige du milieu de semaine derniere. En dessous vieille neige regelee dure.\r\nPas d'autres departs observe dans la zone.""",SE,b'',"Ski touring, downhill",,,,Inconnu,44.88936268299862,6.719051599502564,/attached-files/thumbnails/1641840872924-20220110SommetdesAnges1.JPG,4,False,,1641843373000,2300,2280
1642082593958,1641769200000,Vanoise,Aussois,La Roche,"b'Un des nombreux tirs positifs realises pour la securisation des pistes, ce lundi matin.'",S,b'Wind slab',Avalanche control (hand delivery),Wind,,,4 - FORT,45.261933,6.735198,/attached-files/thumbnails/1642082593958-1642083050192-IMG0222.JPG,1,False,,1642083084000,2550,0
1642082396529,1641682800000,Vanoise,Pointe de l'Echelle,,"b""Avalanche partie spontanement pendant l'episode de mauvais temps. Observee avec le retour de la visibilite.""",E,b'Wind slab',Snow,Wind,,Soft dry,4 - FORT,45.268586,6.696442,/attached-files/thumbnails/1642082396529-1642082559358-IMG0231.JPG,2,False,,1642082584000,3000,2400
